Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.23     0.00   245911     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, std::string> > > >::__construct_helper<std::_Rb_tree_node<std::pair<int const, std::string> >, std::pair<int const, std::string> const&>::value, void>::type std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, std::string> > > >::_S_construct<std::_Rb_tree_node<std::pair<int const, std::string> >, std::pair<int const, std::string> const&>(std::allocator<std::_Rb_tree_node<std::pair<int const, std::string> > >&, std::_Rb_tree_node<std::pair<int const, std::string> >*, std::pair<int const, std::string> const&)
  0.00      1.23     0.00   245911     0.00     0.00  _ZNSt16allocator_traitsISaISt13_Rb_tree_nodeISt4pairIKiSsEEEE9constructIS4_IRKS3_EEEDTcl12_S_constructfp_fp0_spcl7forwardIT0_Efp1_EEERS5_PT_DpOSA_
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, int> >::operator++()
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::string> >::operator++()
  0.00      1.23     0.00   245911     0.00     0.00  std::pair<std::string const, int>::pair<std::string&, int, void>(std::string&, int&&)
  0.00      1.23     0.00   245911     0.00     0.00  std::pair<int const, std::string>::pair<int&, void>(int&, std::string const&)
  0.00      1.23     0.00   245911     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<std::string const, int> >*&, std::_Rb_tree_node<std::pair<std::string const, int> >*&, void>(std::_Rb_tree_node<std::pair<std::string const, int> >*&, std::_Rb_tree_node<std::pair<std::string const, int> >*&)
  0.00      1.23     0.00   245911     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<int const, std::string> >*&, std::_Rb_tree_node<std::pair<int const, std::string> >*&, void>(std::_Rb_tree_node<std::pair<int const, std::string> >*&, std::_Rb_tree_node<std::pair<int const, std::string> >*&)
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, int> > std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_insert_<std::pair<std::string const, int> const&>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<std::string const, int> const&)
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_get_node()
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_put_node(std::_Rb_tree_node<std::pair<std::string const, int> >*)
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, int> >* std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_create_node<std::pair<std::string const, int> const&>(std::pair<std::string const, int> const&)
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<std::string const, int> >*)
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::string> > std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_insert_<std::pair<int const, std::string> const&>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<int const, std::string> const&)
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_get_node()
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree_node<std::pair<int const, std::string> >* std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_create_node<std::pair<int const, std::string> const&>(std::pair<int const, std::string> const&)
  0.00      1.23     0.00   245911     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::string> > std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_insert_equal<std::pair<int const, std::string> const&>(std::pair<int const, std::string> const&)
  0.00      1.23     0.00   245911     0.00     0.00  std::multimap<int, std::string, std::less<int>, std::allocator<std::pair<int const, std::string> > >::insert(std::pair<int const, std::string> const&)
  0.00      1.23     0.00   245911     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
